id,Domain,Sub-Section,Subtopic,Subbullet,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
1134,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Device Management Concepts,Mobile,"An organization wants employees to use their personal smartphones for work email while ensuring corporate data can be selectively wiped if the device is lost, without affecting personal apps and photos. Which device management concept addresses this?",Endpoint detection and response,Mobile device management (MDM) with containerization/selective wipe,Zero Trust Network Architecture,Secure access service edge,B,MDM solutions with containerization or selective wipe capabilities allow organizations to manage and remove corporate data and apps on personal (BYOD) devices without erasing personal content.
1135,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Device Management Concepts,Mobile,Which of the following is a primary security risk associated with mobile device management in a BYOD environment?,Excessive log retention costs,Mixing of personal and corporate data increasing the risk of data leakage,Overuse of hypervisor snapshots,API rate limiting failures,B,"In BYOD environments, the blending of personal and corporate data on the same device increases the risk that sensitive corporate data could leak through personal apps, backups, or lost/stolen devices."
1136,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Device Management Concepts,Endpoint,"A SOC deploys an agent on all corporate laptops that continuously monitors process behavior, file changes, and network connections, and can automatically isolate a host from the network upon detecting malicious activity. This is an example of:",SASE,Endpoint detection and response (EDR),PAM,Zero Trust,B,"EDR solutions provide continuous endpoint monitoring, behavioral detection, and automated response capabilities such as network isolation, which is a core endpoint device management/security concept."
1137,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Device Management Concepts,Endpoint,Which endpoint management practice would MOST effectively reduce the risk of unpatched vulnerabilities being exploited across the organization's laptops?,"Manual, ad-hoc patching when convenient",Centralized patch management with automated deployment schedules,Disabling endpoint logging to save disk space,Allowing users local admin rights to self-manage updates,B,"Centralized, automated patch management ensures endpoints are consistently and promptly updated, reducing the window of exposure to known vulnerabilities."
1138,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Network Architecture Concepts,Zero Trust Network Architecture (ZTNA),"An organization moves away from a traditional VPN model, where authenticated users had broad network access, to a model where every access request is continuously verified and users are granted access only to specific applications based on identity, device posture, and context. This describes:",Hybrid cloud,Zero Trust Network Architecture (ZTNA),SASE,IAM federation,B,"ZTNA operates on the principle of 'never trust, always verify,' granting granular, continuously-verified access to specific resources rather than broad network-level trust, unlike traditional VPNs."
1139,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Network Architecture Concepts,Zero Trust Network Architecture (ZTNA),Which core principle differentiates ZTNA from a traditional perimeter-based security model?,It assumes internal network traffic is automatically trusted,It relies solely on firewall rules for all decision-making,"It enforces least-privilege, continuous verification regardless of network location",It requires all users to be physically on-site,C,"ZTNA eliminates implicit trust based on network location and instead enforces continuous, context-aware verification and least-privilege access for every request, whether internal or external."
1140,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Network Architecture Concepts,Secure access service edge (SASE),"A company wants to combine networking capabilities (like SD-WAN) with security functions (like a secure web gateway, CASB, and ZTNA) into a single, cloud-delivered service for its distributed remote workforce. This architecture is known as:",Secure access service edge (SASE),Hybrid cloud,Containerization,Virtualization,A,"SASE converges networking (SD-WAN) and security services (SWG, CASB, ZTNA, firewall-as-a-service) into a unified, cloud-delivered platform, ideal for securing distributed and remote workforces."
1141,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Network Architecture Concepts,Secure access service edge (SASE),What is a primary security operations benefit of adopting a SASE architecture?,It eliminates the need for identity and access management,It centralizes policy enforcement and visibility for users regardless of their location,It requires all traffic to pass through an on-premises data center,It removes the need for encryption,B,"SASE centralizes security policy enforcement and provides consistent visibility and control over traffic from users and devices no matter where they are located, rather than backhauling traffic through a central data center."
1142,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Network Architecture Concepts,Hybrid cloud,"An organization keeps its sensitive financial database on-premises for regulatory reasons but runs its customer-facing web application in a public cloud provider, with connectivity between the two environments. This architecture is known as:",Containerization,Hybrid cloud,SASE,ZTNA,B,"Hybrid cloud combines on-premises (private) infrastructure with public cloud resources, connected to work together, often used to balance regulatory/compliance needs with cloud scalability."
1143,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Network Architecture Concepts,Hybrid cloud,"From a security operations standpoint, which challenge is MOST associated with hybrid cloud environments?",Inability to use encryption,Maintaining consistent security policies and visibility across disparate on-premises and cloud environments,Complete elimination of the attack surface,Guaranteed compliance with all regulations automatically,B,"Hybrid cloud environments often use different tools and controls on-premises versus in the cloud, making it challenging to maintain consistent policy enforcement, monitoring, and visibility across both."
1144,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Identity and Access Management (IAM),Privileged access management (PAM),"A security team implements a solution that requires administrators to check out temporary, time-limited credentials to access sensitive systems, with all privileged sessions recorded for audit purposes. This is an example of:",Secrets management,Privileged access management (PAM),SASE,Zero Trust,B,"PAM solutions control, monitor, and audit access to privileged accounts, often using just-in-time credential checkout and session recording to reduce the risk of privileged account abuse."
1145,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Identity and Access Management (IAM),Privileged access management (PAM),Which of the following BEST reduces the risk of standing privileged access being exploited by an attacker who compromises an administrator's workstation?,Granting all admins permanent domain admin rights,Implementing just-in-time (JIT) privileged access with time-limited elevation,Disabling multifactor authentication for admin accounts,Sharing a single admin account among the IT team,B,"Just-in-time privileged access grants elevated permissions only for a limited time when needed, reducing the window during which compromised credentials could be used to abuse privileged access."
1146,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Identity and Access Management (IAM),Authentication and authorization methods,A company implements a system where a user must provide a password AND a one-time code generated by an authenticator app before being granted access. This is an example of:,Single sign-on (SSO),Multifactor authentication (MFA),Federation,Role-based access control (RBAC),B,"MFA requires two or more independent factors (something you know, have, or are) to authenticate a user, in this case a password (knowledge) and a one-time code (possession)."
1147,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Identity and Access Management (IAM),Authentication and authorization methods,"An organization assigns permissions to users based on their job function, such as ""HR Manager"" or ""Network Administrator,"" rather than assigning permissions to each individual user. This access control model is called:",Discretionary access control (DAC),Role-based access control (RBAC),Mandatory access control (MAC),Attribute-based access control (ABAC),B,"RBAC assigns permissions based on predefined roles that correspond to job functions, simplifying access management by granting/revoking access through role assignment rather than per-user."
1148,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Identity and Access Management (IAM),Authentication and authorization methods,"A hospital wants to grant access to patient records only when the requesting user's department, the patient's assigned care team, and the time of day all meet specific conditions. Which access control model BEST supports this level of granularity?",Role-based access control (RBAC),Attribute-based access control (ABAC),Discretionary access control (DAC),Rule-based access control based solely on IP address,B,"ABAC evaluates multiple attributes (user department, resource attributes, environmental conditions like time) to make dynamic, granular access decisions, making it ideal for complex, context-dependent scenarios."
1149,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Identity and Access Management (IAM),Authentication and authorization methods,Which authentication method allows a user to log in once and gain access to multiple independent applications without re-entering credentials for each?,Single sign-on (SSO),Mandatory access control,Privileged access management,Secrets management,A,SSO allows a user to authenticate once and be granted access to multiple connected applications or systems without needing to log in separately to each one.
1150,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Identity and Access Management (IAM),Secrets management,"A development team hardcodes a database password directly into application source code, which is later found in a public GitHub repository. Which concept, if properly implemented, would have prevented this exposure?",Time synchronization,Secrets management,System hardening,File structure controls,B,"Secrets management involves securely storing, rotating, and injecting sensitive credentials (like API keys and passwords) at runtime using a dedicated vault, rather than hardcoding them into source code."
1151,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Identity and Access Management (IAM),Secrets management,Which of the following is a best practice for managing API keys and service account credentials used by automated systems?,Store them in plaintext configuration files committed to version control,Use a centralized secrets vault with automated rotation and access logging,Email the credentials to all developers for convenience,Never rotate credentials once issued,B,A centralized secrets vault with automated rotation and audit logging reduces the risk of credential exposure and ensures secrets can be revoked or rotated quickly if compromised.
1152,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Encryption Techniques,Encryption techniques,An organization encrypts data while it is stored on a database server's disk to protect against theft of the physical drive. This describes protection for data:,In transit,At rest,In use,In processing,B,"Encrypting data at rest protects information stored on disks, databases, or backup media from unauthorized access if the storage medium is stolen or accessed without authorization."
1153,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Encryption Techniques,Encryption techniques,"Which encryption approach uses a single shared key for both encrypting and decrypting data, making key distribution a significant challenge?",Asymmetric encryption,Symmetric encryption,Hashing,Digital signatures,B,"Symmetric encryption uses the same key for both encryption and decryption; while fast, it requires securely distributing and managing the shared key among all parties."
1154,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Encryption Techniques,Encryption techniques,"A website uses a public/private key pair so that anyone can encrypt a message to the server using its public key, but only the server (holding the private key) can decrypt it. This is an example of:",Symmetric encryption,Asymmetric encryption,Hashing,Obfuscation,B,"Asymmetric (public key) encryption uses a mathematically related key pair, where data encrypted with the public key can only be decrypted with the corresponding private key, enabling secure key exchange without sharing a secret key."
1155,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Encryption Techniques,Encryption techniques,An organization wants to ensure that data transmitted between a remote employee's laptop and the corporate VPN gateway cannot be read if intercepted. This is an example of protecting data:,At rest,In transit,In use,At ingestion,B,"Encrypting data in transit (e.g., via TLS or IPsec VPN tunnels) protects information as it moves across a network from being read by an attacker performing a man-in-the-middle attack."
1156,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Encryption Techniques,Encryption techniques,"Which technology allows computations to be performed directly on encrypted data without ever decrypting it, protecting data even while it is being processed?",Symmetric encryption,Homomorphic encryption,Hashing,Tokenization,B,"Homomorphic encryption enables computations on ciphertext, producing an encrypted result that, when decrypted, matches the result of operations performed on the plaintext, protecting data in use."
1157,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Data Protection Concepts,Data protection concepts,An organization implements a solution that automatically detects and blocks employees from emailing files containing credit card numbers to external addresses. This is an example of:,Data loss prevention (DLP),Data classification,Data masking,Data sovereignty,A,"DLP solutions monitor, detect, and block the unauthorized transmission of sensitive data, such as credit card numbers, outside of the organization's control."
1158,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Data Protection Concepts,Data protection concepts,"A company labels its documents as ""Public,"" ""Internal,"" ""Confidential,"" and ""Restricted"" based on the sensitivity of their content, and applies different handling controls to each level. This practice is known as:",Data masking,Data classification,Tokenization,Data minimization,B,"Data classification involves categorizing data based on sensitivity or impact level, which then drives the appropriate handling, storage, and protection controls applied to each category."
1159,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Data Protection Concepts,Data protection concepts,"A software testing team needs realistic-looking data to test an application, but the organization does not want to expose real customer Social Security numbers. The team uses a process that replaces real values with fictitious but realistically formatted values. This is:",Data classification,Data masking,Data retention,Data sovereignty,B,"Data masking replaces sensitive data with fictitious but structurally similar data, allowing non-production environments like testing to use realistic data without exposing actual sensitive information."
1160,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Data Protection Concepts,Data protection concepts,A multinational company must ensure that customer data collected from EU citizens is stored and processed within EU borders to comply with local regulations. This requirement relates to the concept of:,Data sovereignty,Data masking,Data minimization,Tokenization,A,"Data sovereignty refers to the concept that data is subject to the laws and governance of the country/region in which it is collected or stored, requiring organizations to ensure geographic compliance."
1161,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Critical Infrastructure Concepts,Operational technology (OT),"A power plant uses specialized computing systems to directly control physical processes like turbines and valves, systems that are distinct from traditional IT networks and often prioritize availability over confidentiality. This is best described as:",Information technology (IT),Operational technology (OT),Cloud native infrastructure,Virtualized infrastructure,B,"Operational technology refers to hardware and software that directly monitors and controls physical devices, processes, and infrastructure, commonly found in manufacturing, energy, and utilities, and typically prioritizes availability and safety over confidentiality."
1162,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Critical Infrastructure Concepts,Industrial control system (ICS),A manufacturing facility uses programmable logic controllers (PLCs) and human-machine interfaces (HMIs) to automate and manage an assembly line process. This collective system is known as:,Industrial control system (ICS),Zero Trust Network Architecture,Secrets management platform,Cloud-native application,A,"An ICS encompasses the control systems, including PLCs and HMIs, used to operate and automate industrial processes such as manufacturing and assembly lines."
1163,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Critical Infrastructure Concepts,Supervisory control and data acquisition (SCADA),A water utility company uses a centralized system to remotely monitor and control geographically dispersed pumping stations and treatment plants across an entire region. This system is best classified as:,Supervisory control and data acquisition (SCADA),Mobile device management,Secure access service edge,Attribute-based access control,A,"SCADA systems are used to remotely monitor and control geographically distributed industrial processes and infrastructure, such as water treatment and distribution across a wide region."
1164,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Critical Infrastructure Concepts,Critical infrastructure concepts,Which factor makes patching vulnerabilities in ICS/SCADA environments significantly more challenging than in traditional IT environments?,ICS/SCADA systems are always cloud-based,"Patching often requires taking systems offline, which can halt critical physical processes and is difficult to schedule",ICS/SCADA systems automatically receive patches with zero downtime,ICS/SCADA systems do not require patching,B,"Patching OT/ICS/SCADA systems often requires downtime that could disrupt critical physical processes (e.g., halting a power plant or water treatment facility), making patch management far more complex than in typical IT environments, where legacy systems and vendor constraints add further difficulty."
